---------------------------------
| Contestant  #  | Overall Time |
| Contestant 473 | 260.70524501 |
| Contestant 431 | 260.99820195 |
| Contestant 575 | 261.02710222 |
| Contestant 562 | 261.30909495 |
| Contestant 837 | 261.42569623 |
| Contestant 115 | 261.84776862 |
| Contestant 884 | 262.00203153 |
| Contestant 787 | 262.26389883 |
| Contestant 060 | 262.83255134 |
| Contestant 515 | 262.84224068 |
| Contestant 496 | 263.01097739 |
| Contestant 262 | 263.01948303 |
| Contestant 628 | 263.08803112 |
| Contestant 497 | 263.19026099 |
| Contestant 109 | 263.19869933 |
| Contestant 538 | 263.26867411 |
| Contestant 061 | 263.34837667 |
| Contestant 117 | 263.38902102 |
| Contestant 259 | 263.70664858 |
| Contestant 199 | 263.78005784 |
| Contestant 869 | 264.11246911 |
| Contestant 604 | 264.17443534 |
| Contestant 798 | 264.26447847 |
| Contestant 569 | 264.49427218 |
| Contestant 824 | 264.57735103 |
| Contestant 004 | 264.80538431 |
| Contestant 153 | 264.94554849 |
| Contestant 095 | 265.02185208 |
| Contestant 268 | 265.18774633 |
| Contestant 181 | 265.27435078 |
| Contestant 198 | 265.72041238 |
| Contestant 841 | 265.92240948 |
| Contestant 356 | 266.22941061 |
| Contestant 062 | 266.53771706 |
| Contestant 463 | 266.63985792 |
| Contestant 166 | 266.69740411 |
| Contestant 075 | 267.19714704 |
| Contestant 823 | 267.53121499 |
| Contestant 350 | 267.62373680 |
| Contestant 741 | 267.70581978 |
| Contestant 142 | 267.78724570 |
| Contestant 265 | 267.91041194 |
| Contestant 390 | 268.29334163 |
| Contestant 026 | 268.78321017 |
| Contestant 518 | 268.99697749 |
| Contestant 764 | 269.26011433 |
| Contestant 012 | 269.47888349 |
| Contestant 220 | 269.60217020 |
| Contestant 956 | 269.60989123 |
| Contestant 005 | 269.85477344 |
| Contestant 942 | 269.98955093 |
| Contestant 984 | 270.06631298 |
| Contestant 436 | 270.16401131 |
| Contestant 231 | 270.79049082 |
| Contestant 338 | 270.97620156 |
| Contestant 540 | 271.44897115 |
| Contestant 429 | 271.44946242 |
| Contestant 572 | 271.47234719 |
| Contestant 992 | 272.09882231 |
| Contestant 295 | 272.12248205 |
| Contestant 288 | 272.26816238 |
| Contestant 646 | 272.41523546 |
| Contestant 238 | 272.67548055 |
| Contestant 829 | 272.72901903 |
| Contestant 976 | 272.96577948 |
| Contestant 108 | 273.09780970 |
| Contestant 999 | 273.10705276 |
| Contestant 443 | 273.43032742 |
| Contestant 343 | 273.73289449 |
| Contestant 508 | 273.73855885 |
| Contestant 351 | 274.23962982 |
| Contestant 193 | 274.65958687 |
| Contestant 530 | 275.13832892 |
| Contestant 010 | 275.64006558 |
| Contestant 590 | 275.89002908 |
| Contestant 087 | 275.89506834 |
| Contestant 964 | 275.92170770 |
| Contestant 548 | 275.93742024 |
| Contestant 337 | 276.03604583 |
| Contestant 495 | 276.76653702 |
| Contestant 871 | 277.04065286 |
| Contestant 484 | 277.10745654 |
| Contestant 782 | 277.21572499 |
| Contestant 487 | 277.23218168 |
| Contestant 412 | 277.24323663 |
| Contestant 030 | 277.30594210 |
| Contestant 237 | 277.39690387 |
| Contestant 423 | 277.46746301 |
| Contestant 313 | 277.55392400 |
| Contestant 710 | 278.25011962 |
| Contestant 966 | 278.26665641 |
| Contestant 213 | 278.51491359 |
| Contestant 174 | 278.57968473 |
| Contestant 552 | 279.07476030 |
| Contestant 302 | 279.09522571 |
| Contestant 692 | 279.32497980 |
| Contestant 943 | 279.45774160 |
| Contestant 514 | 279.46292327 |
| Contestant 400 | 279.56454141 |
| Contestant 416 | 279.85885314 |
| Contestant 532 | 280.00607211 |
| Contestant 006 | 280.15360875 |
| Contestant 631 | 280.18725681 |
| Contestant 699 | 280.50107476 |
| Contestant 613 | 280.59148520 |
| Contestant 455 | 280.61413063 |
| Contestant 289 | 280.75026786 |
| Contestant 300 | 280.83645190 |
| Contestant 507 | 280.89217608 |
| Contestant 255 | 281.30408952 |
| Contestant 606 | 281.48370673 |
| Contestant 830 | 281.63916976 |
| Contestant 441 | 281.95859627 |
| Contestant 979 | 282.10661883 |
| Contestant 201 | 282.43765920 |
| Contestant 571 | 282.44008356 |
| Contestant 100 | 283.35489639 |
| Contestant 271 | 283.50766953 |
| Contestant 547 | 283.69629172 |
| Contestant 607 | 283.74077559 |
| Contestant 769 | 284.21224702 |
| Contestant 324 | 285.06971721 |
| Contestant 963 | 285.46119283 |
| Contestant 700 | 285.52879925 |
| Contestant 795 | 285.57051047 |
| Contestant 668 | 286.14928702 |
| Contestant 411 | 286.44918582 |
| Contestant 312 | 286.55883669 |
| Contestant 410 | 287.15011616 |
| Contestant 655 | 287.26579636 |
| Contestant 708 | 287.39521169 |
| Contestant 774 | 288.29004190 |
| Contestant 622 | 288.34198227 |
| Contestant 394 | 288.56123379 |
| Contestant 541 | 289.91566175 |
| Contestant 642 | 290.09582838 |
| Contestant 427 | 290.32397622 |
| Contestant 154 | 290.37568216 |
| Contestant 698 | 290.72592805 |
| Contestant 185 | 290.76886293 |
| Contestant 857 | 290.78692399 |
| Contestant 175 | 292.21570675 |
| Contestant 172 | 292.53244324 |
| Contestant 989 | 294.17690890 |
| Contestant 360 | 294.19272084 |
| Contestant 474 | 294.65289525 |
| Contestant 962 | 294.71740469 |
| Contestant 933 | 295.22242878 |
| Contestant 705 | 295.23759989 |
| Contestant 517 | 295.42818965 |
| Contestant 285 | 295.55432824 |
| Contestant 658 | 295.73693138 |
| Contestant 462 | 295.76546175 |
| Contestant 828 | 295.77517178 |
| Contestant 618 | 296.10306024 |
| Contestant 908 | 296.35417819 |
| Contestant 847 | 296.42421132 |
| Contestant 971 | 297.03839278 |
| Contestant 726 | 297.61993919 |
| Contestant 218 | 298.24658152 |
| Contestant 367 | 298.38327441 |
| Contestant 670 | 298.57303365 |
| Contestant 917 | 298.63658933 |
| Contestant 249 | 298.76907772 |
| Contestant 263 | 299.00353420 |
| Contestant 550 | 299.77548861 |
| Contestant 685 | 299.88137665 |
| Contestant 881 | 300.56210504 |
| Contestant 347 | 300.70932758 |
| Contestant 286 | 300.86389227 |
| Contestant 846 | 300.95768175 |
| Contestant 611 | 302.13686965 |
| Contestant 023 | 302.23430760 |
| Contestant 568 | 303.10170130 |
| Contestant 499 | 303.34822362 |
| Contestant 593 | 304.10182471 |
| Contestant 224 | 304.74647239 |
| Contestant 505 | 304.84198108 |
| Contestant 563 | 305.67764093 |
| Contestant 912 | 305.71780232 |
| Contestant 433 | 305.89784200 |
| Contestant 111 | 306.43591605 |
| Contestant 784 | 306.72345464 |
| Contestant 747 | 307.32669345 |
| Contestant 134 | 308.07518137 |
| Contestant 901 | 308.70300824 |
| Contestant 038 | 308.77361561 |
| Contestant 251 | 309.08096484 |
| Contestant 743 | 309.71972095 |
| Contestant 438 | 310.00874947 |
| Contestant 458 | 310.17699639 |
| Contestant 274 | 313.61704460 |
| Contestant 330 | 313.74775241 |
| Contestant 413 | 313.93236629 |
| Contestant 339 | 314.05664825 |
| Contestant 650 | 314.11224506 |
| Contestant 570 | 314.67582223 |
| Contestant 838 | 314.68536130 |
| Contestant 139 | 316.09129328 |
| Contestant 357 | 317.60930418 |
| Contestant 832 | 318.35421360 |
| Contestant 304 | 320.23436512 |
| Contestant 746 | 320.64353323 |
| Contestant 355 | 321.40921941 |
| Contestant 887 | 322.27542031 |
| Contestant 050 | 322.63401362 |
| Contestant 781 | 322.81538547 |
| Contestant 725 | 323.92672477 |
| Contestant 588 | 326.03515675 |
| Contestant 924 | 327.09334086 |
| Contestant 054 | 327.16080132 |
| Contestant 420 | 328.83781299 |
| Contestant 664 | 330.14227230 |
| Contestant 081 | 330.25341258 |
| Contestant 973 | 330.90051714 |
| Contestant 521 | 331.56443111 |
| Contestant 644 | 333.30691963 |
| Contestant 407 | 334.60631473 |
| Contestant 252 | 344.50990448 |
| Contestant 437 | 351.70544345 |
| Contestant 129 | 358.55473273 |
| Contestant 936 | 359.14674364 |
| Contestant 760 | 360.47203781 |
| Contestant 960 | 365.60374729 |
---------------------------------
Overall, the runners spent 219399.89824488 seconds running total.
